Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
মুরগিও,murgi͡o̯,``,``,রাহন,rahon,যে,ɟe,দিলি,d̪ili
হাঁস-মুরগিও,hãʃo-murgi͡o̯,স্যার,sær,যাইবু,ɟa͡i̯bu,পঞ্চপান্ডব,pɔncopandb,সেরম,ʃerɔm
বেটায়,betaʲ,ইমরান,imran,অইলে,æ͡i̯le,এরকম,erokom,দেছে,d̪ecʰe
রিয়াদ,riʲad̪,মুশারপরে,muʃarpɔre,ধ্বংস,d̪ʱɔŋʃo,যাইবো,ɟa͡i̯bo,কাকারে,kakare
নোহায়,nohaʲ,ফাডাইন,pʰada͡i̯n,কিল্লাই,killa͡i̯,এডিরেও,edire͡o̯,বিয়েও,biʲe͡o̯
বেটার,betar,দুইজন,d̪u͡i̯ɟɔn,ইতার,it̪ar,কাহিনি-টাহিনি,kahini-tahini,নিয়াসলো,niʲaʃlo
কোটে,kote,ক্লোজ,kloɟ,হাতে,hat̪e,কইরাই,ko͡i̯ra͡i̯,থাইয়ে,t̪ʰa͡i̯ʲe
এই,e͡i̯,বন্দু,bond̪u,ফুরা,pʰura,আস্তে,ast̪e,সে,ʃe
কাউন্টারত,ka͡u̯ntarot̪o,একলগে,æklgk,ডিপেন্ড,dipend,রিটায়ারমেন্ট,ritaʲarment,গাইড়,ga͡i̯ɽ
ম্যানেজারি,mæneɟari,দেইন,d̪e͡i̯n,আরকি,arɔki,করার,kɔrar,মারা,mara
কাউন্টারনত,ka͡u̯ntaronɔt̪ɔ,,,সিআরে,si͡a̯re,লাইগা,la͡i̯ga,দিছে,d̪icʰe
ঢাকা,dʱaka,কল,kɔl,তসেমিস্টার,t̪ɔʃemistar,প্রেশার,preʃar,ফরে,pʰɔre
অহ,ɔh,আজিম,aɟim,শেষ,ʃeʃ,দিতাছে,d̪it̪acʰe,বিয়েতে,biʲet̪e
তো।,t̪o।,নাইলে,na͡i̯le,নতুন,not̪un,সম্মানের,ʃɔmmaner,দাওয়াত,d̪a͡o̯ʲat̪
বউতো,bɔ͡u̯t̪o,মনয়,monoʲ,সেমিস্টার,ʃemistar,সহিত,ʃohit̪,বুচ্ছো,buccʰo
বাড়িতে,baɽit̪e,সম্ববত,ʃɔmbɔbɔt̪o,অইবো,ɔ͡i̯bo,রিটায়ারমেন্টটা,ritaʲarmentta,সুমা,ʃuma
আসে,aʃe,কেউ,ke͡u̯,দিবো,d̪ibo,নিতে,nit̪e,নিজির,niɟir
নাকি,naki,দিতাছি,d̪it̪acʰi,ঠিক,tʰik,পারতো,part̪o,চ্যারাব্যারা,cærabæra
যাগাত,ɟagat̪,একটু,ektu,খইরদি,kʰo͡i̯rd̪i,এডি,edi,দিপু,d̪ipu
যায়,ɟaʲ,রাহো,raho,যাতে,ɟat̪e,করে,kore,কাকার,kakar
হু,hu,সমস্যা,ʃɔmoʃʃa,জিন্দেগীত,ɟind̪egit̪,তাও,t̪a͡o̯,দ্যাহা,d̪æha
নাহ,nah,নাইগা,na͡i̯ga,ত্যানাত্যানা,t̪ænat̪t̪ana,এহনো,ehono,ওইছে,o͡i̯cʰe
ইশারাতে,iʃarat̪e,কারেন্ট,karent,বানাই,bana͡i̯,হে,he,দুইদিন,d̪u͡i̯d̪in
থাকে,t̪ʰake,নাই,na͡i̯,ফালাইয়্যে,pʰala͡i̯ʲt̪e,বিপিএল,bipi͡e̯l,দিন,d̪in
ঘর,gʱɔr,গরম,gɔrom,দিয়্যি,d̪ikd̪i,খেলতাছে,kʰelt̪acʰe,আমারে,amare
যাবার,ɟabar,লাগবোই,lagbo͡i̯,না,na,প্রিমিয়ার,primiʲar,ধরিছে,d̪ʱoricʰe
নাতো,nat̪o,হেইডা,he͡i̯da,এইল্লাত,e͡i̯llat̪o,লিগগুলা,liggula,অবেনে,ɔbene
আই,a͡i̯,তুমার,t̪umar,তোঁয়ারা,t̪õʷara,রূপগনঞ্জের,rupgɔnɔnɟer,কিন্তু,kint̪u
আদর,ad̪or,বাতাসে,bat̪aʃe,খইবা,kʰo͡i̯ba,এ,e,আইসো,a͡i̯ʃo
যত্ন,ɟɔt̪no,দাদির,d̪ad̪ir,লটারি,lɔtari,যেন,ɟeno,জম্মের,ɟɔmmer
যদি,ɟod̪i,হুটেলো,hutelo,সিস্টেমে,ʃisteme,ডিপিএল,dipi͡e̯l,আকারে,akare
পায়,paʲ,কায়া,kaʲa,যারার,ɟarar,ডিপিএলের,dipi͡e̯ler,এরফরে,erpʰɔre
কি,ki,আবার,abar,ফরের,pʰɔrer,কথা,kɔt̪ʰa,বন্ধুগণ,bond̪ʱugɔn
পাইবে,pa͡i̯be,বেডাগিরি,bedagiri,সাইরদে,sa͡i̯rd̪e,কইছ,ko͡i̯cʰo,নারাজ,naraɟ
তায়,t̪aʲ,হরো,horo,ফিছের,pʰicʰer,আম্পায়াররা,ampaʲarra,বন্ধু-বান্ধব,bond̪ʱu-band̪ʱob
খাবারটা,kʰabarta,যেইদিন,ɟe͡i̯d̪in,দেহেন,d̪ehen,সিদ্ধান্ত,ʃid̪d̪ʱant̪o,সব,ʃɔb
লাগে,lage,নিজে,niɟe,অনে,ɔne,দে,d̪e,শুনলাম,ʃunlam
সবচাইতে,ʃɔbca͡i̯t̪e,ইনকাম,inkam,গরন,gɔron,আউট,a͡u̯t,সজীব,ʃoɟib
মুই,mu͡i̯,করতারবা,kort̪arba,দওন,d̪ɔ͡o̯n,অইলেও,æ͡i̯le͡o̯,সরকার,ʃɔrkar
সোগে,ʃoge,এইসময়,e͡i̯ʃɔmɔʲ,বাছাই,bacʰa͡i̯,আবার,abar,আনন্দ,anond̪o
খাও,kʰa͡o̯,বেবসা,bebʃa,লই,lɔ͡i̯,যেটা,ɟeta,এরা,era
শাক-সবজি,ʃak-sboɟi,হরতারছ,hɔrot̪arɔcʰo,কিতারে,kit̪are,ওইটাও,o͡i̯ta͡o̯,নিয়ে,niʲe
বেশিই,beʃi͡i̯,হে,he,দেওন,d̪æ͡o̯n,বাউন্ডারি,ba͡u̯ndari,তাগের,t̪ager
পছন্দ,pɔcʰond̪o,ছাইর,cʰa͡i̯r,কিতে,kit̪e,অইয়া,ɔ͡i̯ʲa,পরবর্তীতি,pɔrobort̪it̪i
তবুও,t̪obu͡o̯,আনা,ana,ভালা,bʱala,চক্ষেই,cokkʰe͡i̯,বিয়ে-টিয়ে,biʲe-tiʲe
সেইটায়,ʃe͡i̯taʲ,খাডায়া,kʰadaʲa,গরিবো,goribo,দেহে,d̪ehe,হইয়ে,ho͡i̯ʲe
মাইনষের,ma͡i̯nʃer,খাইট্টা,kʰa͡i̯tta,ইবে,ibe,ওইডারেও,o͡i̯dare͡o̯,গিলি,gili
জিনিসটা,ɟiniʃta,আইন্না,a͡i̯nna,খই,kʰo͡i̯,রান,ran,তাগে,t̪age
আমাক,amak,বেবসাত,bebʃat̪,সাইততারো,sa͡i̯t̪ɔt̪aro,দেয়,d̪eʲ,বলিনি,bolini
সগে,ʃɔge,হুটেলতে,hutelt̪e,বেয়াকে,beʲake,ওইডারে,o͡i̯dare,আগে,age
পাং,paŋ,আন্তাছে,ant̪acʰe,খইয়্যেদে,kʰo͡i̯ʲd̪ʱed̪e,ছয়,cʰɔʲ,সারা,ʃara
শাক,ʃak,নায়তো,naʲt̪o,নাকি,naki,অবস্থা,ɔbost̪ʰa,বছর,bɔcʰor
সবজি,ʃɔbɟi,বাফের,bapʰer,ক্লাসরুম,klaʃrum,সিস্টেম,ʃistem,ধরে,d̪ʱore
অন্য,ɔnno,টিকই,tiki,ম্যানটেইন,mænte͡i̯n,রিভিও,ribʱi͡o̯,আশ্বাস,aʃʃaʃ
গরুর,gorur,যেই,ɟe͡i̯,অ,ɔ,এরা,era,বিয়ের,biʲer
বা,ba,সময়,ʃɔmɔʲ,সিআরই,si͡a̯ri,ম্যানেজ,mæneɟ,ন,n
মুরগির,murgir,নিজের,niɟer,উলটা,ulta,করতারে,kort̪are,কত্তি,kɔt̪t̪i
এইল্লাত,e͡i̯llat̪o,উফার্জনের,upʰarɟoner,পরিমাণ,poriman,লাগে,lage,ত্যান,t̪æn
কমে,kome,দিয়া,d̪iʲa,পরিশ্রম,porisrɔm,এনে,ene,অনিকির,ɔnikir
রুচি,ruci,বুজা,buɟa,ফরে,pʰɔre,দেড়,d̪eɽ,রাগ,rag
ঠিকে,tʰike,যাইবো,ɟa͡i̯bo,ফরার,pʰɔrar,থেকে,t̪ʰeke,দোস্তো,d̪ost̪o
মানুষের,manuʃer,হরছে,horcʰe,শিটের,ʃiter,দুই,d̪u͡i̯,বন্দুগে,bond̪uge
তে,t̪e,করছিন,korcʰin,স্যারে,sære,দিলে,d̪ile,আনলো,anlo
ক্যালোরি,kælori,টিউশনি,ti͡u̯ʃoni,যে,ɟe,এর,er,ডাকলো,daklo
ভিটামিন,bʱitamin,ইন্টার,intar,প্রাইভেট,pra͡i̯bʱet,মেশিন,meʃin,তাইতো,t̪a͡i̯t̪o
এগিলা,egila,ফরতাছো,pʰɔrot̪acʰo,নিয়ম,niʲom,আইনা,a͡i̯na,যাইয়ে,ɟa͡i̯ʲe
সমৃদ্ধ,ʃɔmrid̪d̪ʱo,ঠিকাছে,tʰikacʰe,কুয়েশ্চন,kuʲeʃcon,বসাইতে,bɔʃa͡i̯t̪e,এক,æk
মাংসত,maŋʃɔt̪o,করতাছো,kort̪acʰo,আইবু,a͡i̯bu,পারে,pare,দিকদে,d̪ikd̪e
আটকি,atki,ফহেডেরতে,pʰɔhedert̪e,অ্যাঁ,æ̃,স্পিড,spid,প্রজেক্টে,proɟekte
ওইটায়,o͡i̯taʲ,বইরা,bo͡i̯ra,ধরো,d̪ʱɔro,ঠিকঠাক,tʰiktʰak,গ্যাসের,gæʃer
টায়,taʲ,লইছো,lo͡i̯cʰo,তোঁয়ারে,t̪õʷare,চালাতে,calat̪e,ভাইয়ার,bʱa͡i̯ʲar
মনি,moni,রাইহান,ra͡i̯han,দিয়্যে,d̪ikt̪e,বোলার,bolar,প্রজেক্ট,proɟektɔ
ডাইল,da͡i̯l,বাইয়ের,ba͡i̯ʲer,প্রশ্ন,prosno,বুল,bul,লাইগে,la͡i̯ge
ভাঁজি,bʱãɟi,তাহে,t̪ahe,বারো,baro,গতি,got̪i,থাহো,t̪ʰaho
থাকলেই,t̪ʰakle͡i̯,সহালে,ʃɔhale,এডের,eder,উডে,ude,ভুদা,bʱud̪a
উহাতে,uhat̪e,দুহান,d̪uhan,ফাচচো,pʰacco,পরিস্থিতি,porist̪ʰit̪i,হবে,hɔbe
মেলা,mæla,কুলুইন,kulu͡i̯n,বা,ba,দেশগুলাতে,d̪eʃgulat̪e,সেইডেই,ʃe͡i̯de͡i̯
খবর,kʰɔbor,কুম্বালা,kumbala,ছউয়া,cʰɔ͡u̯ʲa,অস্ট্রলিয়া,ɔstroliʲa,ভাইয়া,bʱa͡i̯ʲa
রাখছিস,rakʰcʰiʃ,কের,ker,যেইগিন,ɟe͡i̯gin,নিউজিল্যান্ড,ni͡u̯ɟilænd,কুনজাগা,kunɟaga
ঋণীরা,rinira,আয়া,aʲa,আয়,aʲ,মিচেল,micel,গাজিপুর,gaɟipur
তোর,t̪or,বিচ্ছাই,biccʰa͡i̯,আগেদি,aged̪i,স্টার্ক,starko,গুদ,gud̪
কখন,kɔkʰon,ছরো,cʰɔro,খতিকগিন,kʰot̪ikgin,অস্ট্রলিয়ার,ɔstroliʲar,মারামারি,maramari
আইলো,a͡i̯lo,যাই,ɟa͡i̯,আবার,abar,বলের,bɔler,বাইদে,ba͡i̯d̪e
দুপুরে,d̪upure,কেরে,kere,ইয়্যেনের,iʲd̪ʱener,আমার,amar,যাতো,ɟat̪o
আইচ্ছে,a͡i̯ccʰe,কাডল,kadol,ই,i,ইংল্যান্ডের,iŋlænder,গেলি,geli
ইশ,iʃ,দেহো,d̪eho,ফাই,pʰa͡i̯,জেমস,ɟemʃ,ফুরো,pʰuro
কথায়,kɔt̪ʰaʲ,হস্তা,hɔst̪a,আঁর,ãr,এন্ডারসন,ændarʃon,কালার,kalar
ক্যান,kæn,কই,ko͡i̯,নিজের,niɟer,চল্লিশ,colliʃ,যাতাম,ɟat̪am
বাইর,ba͡i̯r,আছো,acʰo,যাইয়ানে,ɟa͡i̯ʲane,প্লাস,plas,কতো,kɔt̪o
কথা,kɔt̪ʰa,মাতা,mat̪a,অথবা,ɔt̪ʰoba,বয়স,bɔʲoʃ,দেহিছো,d̪ehicʰo
জোড়ে,ɟoɽe,নষ্ট,nɔʃto,স্যারেরতুন,særert̪un,গেছে,gecʰe,দিফুরে,d̪ipʰure
কো,ko,নি,ni,চোইদ্দবার,co͡i̯d̪d̪obar,টেস্টের,tester,রাজীবরে,raɟibɔre
আহ,ah,আরাইশ,ara͡i̯ʃ,তঁয়,t̪ɔ̃ʲ,পঞ্চাইশ,pɔnca͡i̯ʃo,ধত্তো,d̪ʱɔt̪t̪o
আবার,abar,মনো,mono,দিয়্যুনা,d̪ikuna,অবার,ɔbar,লোক,lok
রেকর্ড,rekɔrd,এর,er,ইয়াত,iʲat̪,ষাইড,ʃa͡i̯d,এয়্যা,eʲla
করিস,koriʃ,অত,ɔt̪o,আছেনা,acʰena,প্লেয়ারগুলি,pleʲarguli,দিনভইরে,d̪inbʱire
ঈদের,id̪er,কাডাল,kadal,এর,er,অহনোই,ɔhono͡i̯,আমরা,amra
সময়,ʃɔmɔʲ,কাওয়ানি,ka͡o̯ʷani,আগে,age,টেস্টতেত্তেন,testt̪et̪t̪en,বইসে,bo͡i̯ʃe
খাওয়া-,kʰa͡o̯ʷa-,লাগবো,lagbo,ফাইতাম,pʰa͡i̯t̪am,ছাইড়া,cʰa͡i̯ɽa,আড্ডা,adda
দাওয়া,d̪a͡o̯ʷa,ছাইরশ,cʰa͡i̯rʃo,বড়,bɔɽo,টেস্ট,test,দি,d̪i
হইসে,ho͡i̯ʃe,কেজি,keɟi,সাইর,sa͡i̯r,খেলা,kʰela,লাড়াচাড়া,laɽacaɽa
খাইসি,kʰa͡i̯si,কিইন্না,ki͡i̯nna,কোর্স,kors,খেলবো,kʰelbo,বিটারে,bitare
হইল,ho͡i̯l,আফেল,apʰel,তিননোত,t̪innot̪o,বলমু,bɔlmu,আইছো,a͡i̯cʰo
সজনা,ʃɔɟona,ফরযন্ত,pʰɔrɟɔnt̪o,হাইয়েস্ট,ha͡i̯ʲest,আসলে,aʃole,কঠিন,kotʰin
ঢেঁড়স,dʱẽɽoʃ,খাওয়া,kʰa͡o̯ʷa,মাশাল্লাহ,maʃallah,যারা,ɟara,বুইছো,bu͡i̯cʰo
মাছ,macʰ,ইতা,it̪a,নিজে,niɟe,চৌদ্দ,co͡u̯d̪d̪o,আসপে,aʃpe
এইগলা,e͡i̯gɔla,আমরা,amra,খুঁজি,kʰũɟi,পনেরো,ponero,অনিক,ɔnik
ইনিয়া,iniʲa,জানি,ɟani,জিনিস,ɟiniʃ,টিমটারে,timtare,আগেদ্দিন,aged̪d̪in
থাকবে,t̪ʰakbe,কতা,kɔt̪a,লিখি,likʰi,সার্ভিস,ʃarbʱiʃ,কয়,kɔʲ
আইজকা,a͡i̯ɟka,হেরে,here,কারন,karon,চায়,caʲ,মাদাচ্চোদ,mad̪accod̪
চলি,coli,এবা,eba,ফরেদি,pʰɔred̪i,হেরাও,hera͡o̯,বললো,bollo
যাইবে,ɟa͡i̯be,কাওয়াইলে,ka͡o̯ʷa͡i̯le,ফাইয়্যুম,pʰa͡i̯ʲd̪ʱum,মাত্র,mat̪ro,বইলে-টইলে,bo͡i̯le-tile
অহো,ɔho,ফুশবো,pʰuʃbo,কেওর,ke͡o̯r,পাঁচ,pãc,কেউরে,ke͡u̯re
রমজান,rɔmoɟan,মিয়া,miʲa,মাথাত,mat̪ʰat̪,খেইলা,kʰe͡i̯la,ইরা,ira
মাস,maʃ,ফুশ্তো,pʰust̪o,সেট,ʃet,কথায়,kɔt̪ʰaʲ,ধত্তিছে,d̪ʱɔt̪t̪icʰe
একদিন,ækd̪in,বেডাইনে,beda͡i̯ne,বাংকও,baŋko,তাড়াতড়ি,t̪aɽat̪oɽi,ভাই-বন্দু,bʱa͡i̯-bɔnd̪u
মিমির,mimir,কাওয়া,ka͡o̯ʷa,দিত,d̪it̪o,ওইঠা,o͡i̯tʰa,আসতি,aʃt̪i
সাথে,ʃat̪ʰe,কিবা,kiba,ফারির,pʰarir,উপরে,upɔre,পাল্লো,pallo
উম,um,হেইতা,he͡i̯t̪a,বাসা,baʃa,উইঠা,u͡i̯tʰa,কচ্ছি,kɔccʰi
ভালোই,bʱalo͡i̯,দাদিরে,d̪ad̪ire,মাস্টারপুল,mastarpul,মানুষ,manuʃ,তোর,t̪or
ইয়াও,iʲa͡o̯,কুজি,kuɟi,বৌ,bo͡u̯,পরে,pɔre,তুই,t̪u͡i̯
ওর,or,সবকিছু,ʃɔbkicʰu,বাজার,baɟar,পেছনে,pecʰone,কতি,kot̪i
মাও,ma͡o̯,বুজি,buɟi,খুলশি,kʰulʃi,তাকাতে,t̪akat̪e,ফারিস,pʰaris
কয়,kɔʲ,এইতা,e͡i̯t̪a,থুন,t̪ʰun,ভুইলা,bʱu͡i̯la,কার,kar
যাইসনা,ɟa͡i̯ʃna,মিলায়া,milaʲa,এন,en,কই,ko͡i̯,কিডা,kida
পঁচিশ,põciʃ,বিডিও,bidi͡o̯,জি,ɟi,ছিলাম,cʰilam,দেলো,d̪ælo
টা,ta,বানাইলে,bana͡i̯le,করি,kori,কোথায়,kot̪ʰaʲ,তোরে,t̪ore
টাকার,takar,দেখছস,d̪ekʰcʰɔʃ,গেইলি,ge͡i̯li,আসছি,aʃcʰi,সেই,ʃe͡i̯
পান,pan,বানায়,banaʲ,লায়দে,laʲd̪e,এগুলা,egula,বিরাদার,birad̪ar
বিশ,biʃ,থ,t̪ʰo,একশো,ækʃo,ক্রিকেটে,krikete,চুদাইছে,cud̪a͡i̯cʰe
সুপারি,ʃupari,হেরা,hera,আশি,aʃi,টি-টোয়েন্টি,ti-toʲenti,এওন,e͡o̯n
পইত্রিশ,po͡i̯t̪riʃ,দইরা,d̪o͡i̯ra,দুইশো,d̪u͡i̯ʃo,ওইটাতে,o͡i̯tat̪e,বিষয়ডা,biʃɔʲda
টাকা,taka,বানা,bana,টেঁয়া,tẽʲa,করুক,koruk,হয়ে,hoʲe
নিসে,niʃe,রুপ,rup,এতদূর,æt̪od̪ur,তাহলে,t̪ahole,একসাথে,ækʃat̪ʰe
পরে,pɔre,গ্রামো,gramo,জার্নি,ɟarni,টেস্টে,teste,যারা,ɟara
কাইলাকা,ka͡i̯laka,হেরার,herar,সকাল,ʃɔkal,এবাদত,ebad̪ɔt̪o,বড়,bɔɽo
ফির,pʰir,ফিছে,pʰicʰe,নয়টা,nɔʲta,খালেদ,kʰaled̪,হইছি,ho͡i̯cʰi
দশ,d̪ɔʃ,মাসা,maʃa,বাজে,baɟe,তাসকিন,t̪aʃokin,ইস্কুলির,iskulir
মাসে,maʃe,ইডিট,idit,নয়টার,nɔʲtar,পেস,pes,ফ্রেন্ড,pʰrend
কন,kon,কন্টেন,konten,উডন,udon,ইউনিটে,i͡u̯nite,একবারে,ækbare
ওইযে,o͡i̯ɟe,লেহে,lehe,ছয়টা,cʰɔʲta,দিকে,d̪ike,ছোট,cʰoto
খাওয়া,kʰa͡o̯ʷa,লেইক্কা,le͡i̯kka,সাড়ে,ʃaɽe,হাসান,hasan,বেলাত্তে,belat̪t̪e
চিয়েরির,ciʲerir,কেমেরা,kemera,সাতটা,ʃat̪ta,মাহমুদ,mahmud̪,আমাগে,amage
নেরে,nere,এরা,era,বাসার,baʃar,অছে,ɔcʰe,সত্যি,ʃot̪t̪i
তেরে,t̪ere,মাসে,maʃe,বাইর,ba͡i̯r,ইনজুরি,inɟuri,জনের,ɟɔner
ধাকি,d̪ʱaki,লাক,lak,অইতে,ɔ͡i̯t̪e,ওইযে,o͡i̯ɟe,প্রতি,prot̪i
খাইতে,kʰa͡i̯t̪e,টেহাও,teha͡o̯,উডে,ude,সিরিজটা,siriɟta,আরেক,arek
থাকে।,t̪ʰake।,ফা,pʰa,অরদে,ɔrd̪e,করলো,korlo,আবেগডা,abegda
গাড়ি,gaɽi,এতানের,æt̪aner,আটটা,atta,রুবেল,rubel,স্বাভাবিকভাবেই,ʃabʱabikbʱabe͡i̯
নিয়া,niʲa,দান্দাই,d̪and̪a͡i̯,ঘন্টা,gʱɔnta,সাইফুদ্দিন,sa͡i̯pʰud̪d̪in,হাই,ha͡i̯
আইচ্ছেন,a͡i̯ccʰen,দান্দা,d̪and̪a,এইগিনের,e͡i̯giner,রুবেলের,rubeler,যাগে,ɟage
এলাও,ela͡o̯,গুরে,gure,গইরতে,girt̪e,জন্য,ɟonno,পরিচয়,poricɔʲ
করং,koroŋ,আশটশো,aʃtʃo,যারগুই,ɟargu͡i̯,অইও,ɔ͡i̯o,চাইতে,ca͡i̯t̪e
দুলাভাই,d̪ulabʱa͡i̯,তুই,t̪u͡i̯,বাস,bas,হিসাবে,hiʃabe,কেজি,keɟi
সহকারে,ʃɔhokare,জানস,ɟanoʃ,গাড়ি,gaɽi,সিনিয়র,siniʲor,ইস্কুলি,iskuli
আসছং,aʃcʰɔŋ,ছার্জারের,cʰarɟarer,ভার্সিটি,bʱarsiti,প্লেয়ারই,pleʲari,পড়ছিলাম,poɽcʰilam
যাইম,ɟa͡i̯m,লাইট,la͡i̯t,ক্যামপাস,kæmpaʃ,তেমন,t̪æmon,আলাদা,alad̪a
স্কুল,skul,মুবাইল,muba͡i̯l,গেইট,ge͡i̯t,রেসপেক্ট,respektɔ,টান,tan
গেইসে,ge͡i̯ʃe,দরে,d̪ɔre,যিয়ান,ɟiʲan,দেওয়া,d̪e͡o̯ʷa,অবশ্যই,ɔboʃʃo͡i̯
হাইমজা,ha͡i̯mɔɟa,দরলাম,d̪ɔrlam,টেম্পোরারি,temporari,সাইফুদ্দিনের,sa͡i̯pʰud̪d̪iner,এদিক,ed̪ik
বন্ধ,bond̪ʱo,তিনশো,t̪inʃo,হই,ho͡i̯,বললি,bolli,দে,d̪e
দেয়,d̪eʲ,এতা,æt̪a,দিয়ে,d̪iʲe,মানে,mane,ছ্যামড়াডার,cʰæmɔɽadar
ব্যাবসা,bæboʃa,আছুদা,acʰud̪a,আগততুন,agt̪ot̪un,নিজেরে,niɟere,পড়লি,pɔɽli
কারণ,karon,বাইত,ba͡i̯t̪o,হারন,haron,নিজে,niɟe,খারাপ,kʰarap
মানে,mane,কালি,kali,ইয়ানতো,iʲant̪o,বড়,bɔɽo,লাগে,lage
